年月,最深積雪(cm),平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),日平均気温0℃未満日数(日),日最高気温0℃未満日数(日),日最低気温0℃未満日数(日),降雪量合計(cm),降雪量日合計最大(cm),降雪量日合計3cm以上日数(日),降水量の合計(mm)
Jan-02,194,-0.4,2.3,-2.9,7.9,-8.3,17,5,28,330,38,23,324
Feb-02,196,0,3.5,-2.7,8.3,-7.7,13,4,23,223,37,13,112
Mar-02,144,4,9.5,-0.1,17.9,-5.7,2,0,14,105,16,17,100
Apr-02,12,10.9,16.4,6.3,26.6,0.6,0,0,0,3,2,0,78
May-02,,14.4,19.8,10,26.4,4.8,0,0,0,,,,60
Jun-02,,18.1,23,14,29,9.4,0,0,0,,,,66
Jul-02,,24,28.7,20.3,34.4,15.4,0,0,0,,,,186
Aug-02,,23.9,29.3,20.1,33.7,13.8,0,0,0,,,,135
Sep-02,,18.6,23,15.1,34.4,8.5,0,0,0,,,,100
Oct-02,0,12.6,17.2,9.1,24.4,1.3,0,0,0,0,0,0,174
Nov-02,30,3.5,7.7,0.7,13.5,-1.4,0,0,13,72,33,5,245
Dec-02,103,0.4,3.2,-2,11.1,-8.1,15,7,26,246,47,13,193
Jan-03,203,-2,1.3,-4.9,6.8,-9.6,26,10,31,409,61,19,296
Feb-03,193,-0.8,3.1,-4,6.8,-7.9,19,2,25,207,35,15,114
Mar-03,248,1.1,5,-2,15.5,-6,11,4,23,222,41,18,204
Apr-03,116,8.7,14.7,4.3,25.2,-1,0,0,3,40,10,6,132
May-03,0,15.7,22.4,10.4,29.4,2.3,0,0,0,0,0,0,48
Jun-03,,19.3,24.4,15.1,29,9.2,0,0,0,,,,84
Jul-03,,20.1,24.9,16.9,29.1,13.8,0,0,0,,,,121
Aug-03,,22.6,27.7,19.2,32.9,15.9,0,0,0,,,,240
Sep-03,,19.5,24.5,15.9,33.4,7,0,0,0,,,,133
Oct-03,0,11.8,17.3,7.6,21.2,2.7,0,0,0,0,0,0,67
Nov-03,0,9,13.2,5.6,21.6,-0.7,0,0,1,0,0,0,159
Dec-03,100,1.6,5.3,-1.5,10.4,-6.3,7,2,24,185,50,10,250
Jan-04,160,-1.5,1.9,-4.1,7.4,-7.5,23,8,29,323,43,23,190
Feb-04,171,0.4,4.9,-3.2,16.2,-6.7,15,2,26,296,57,15,204
Mar-04,149,2.6,8.3,-1.3,20.7,-7.3,8,0,20,160,20,19,68
Apr-04,29,9.8,16.7,4.3,26.8,-2.1,0,0,2,9,4,2,71
May-04,,15.7,21.8,11,29.3,6.6,0,0,0,,,,232
Jun-04,,19.5,25.2,15.1,33,8.5,0,0,0,,,,91
Jul-04,,23.9,29.4,19.9,34.1,16.8,0,0,0,,,,135
Aug-04,,23.1,29,18.8,34.5,13.8,0,0,0,,,,60
Sep-04,,20.4,25.8,16.7,31.4,11.9,0,0,0,,,,257
Oct-04,,12.3,17.1,8.8,26.6,1.5,0,0,0,,,,330
Nov-04,0,8.9,13.8,5.1,21.3,0.3,0,0,0,0,0,0,77
Dec-04,68,2.6,6.7,-0.8,16.6,-7.9,8,2,20,147,31,10,219
Jan-05,209,-1.6,1.5,-4.4,6.9,-8.3,24,10,31,486,54,21,437
Feb-05,262,-1.5,1.9,-4.4,7.2,-9.2,21,9,28,345,74,19,241
Mar-05,233,1.2,5.7,-2.6,12.3,-7,13,2,22,212,33,20,147
Apr-05,150,8.4,14.8,3.5,28.7,-2.5,0,0,4,54,6,13,37
May-05,,13.1,19.7,8.2,26.3,2.5,0,0,0,,,,47
Jun-05,,20.3,25.6,16.3,31.8,10,0,0,0,,,,117
Jul-05,,21.9,27.2,18.5,32.8,16,0,0,0,,,,219
Aug-05,,23.7,29.1,20.5,33.1,16.1,0,0,0,,,,335
Sep-05,,20.3,25.4,16.6,32.5,11,0,0,0,,,,161
Oct-05,,13.9,18.2,10.6,24.6,5.2,0,0,0,,,,106
Nov-05,0,6.1,11,2.7,17.7,-2.7,0,0,3,0,0,0,116
Dec-05,264,-1.8,1,-4.1,6.8,-9.4,21,12,31,572,68,25,623
Jan-06,343,-2.6,0.3,-5.8,7.3,-12.1,26,14,30,462,56,22,335
Feb-06,334,-1,3.2,-4.7,10.9,-12.1,18,5,23,244,46,16,216
Mar-06,257,1.6,6.5,-2.2,13.8,-8,7,1,25,168,37,15,166
Apr-06,188,6.5,11.8,2.3,21.3,-1.9,0,0,5,66,7,11,99
May-06,0,14.4,20.5,9.5,28.9,3.2,0,0,0,0,0,0,79
Jun-06,,19.2,24.5,15.1,28.4,10.7,0,0,0,,,,41
Jul-06,,21.4,25.6,18.7,30.8,15.5,0,0,0,,,,428
Aug-06,,24.6,30.7,20.5,34.3,16.3,0,0,0,,,,38
Sep-06,,18.9,24,15.3,32.9,10.3,0,0,0,,,,170
Oct-06,,14,19.1,10.6,23.8,8.2,0,0,0,,,,259
Nov-06,0,7.4,12.2,3.6,19.2,-2,0,0,1,0,0,0,142
Dec-06,50,2,5.6,-0.8,10.4,-4.9,6,1,20,155,34,12,252
Jan-07,68,0.2,3.4,-2.4,7.9,-6.1,14,0,27,197,21,25,124
Feb-07,56,1.2,5.5,-2.4,12.5,-7.4,10,1,22,177,28,17,116
Mar-07,44,2.7,7.5,-1,18.6,-4.9,10,2,22,118,31,9,118
Apr-07,0,7.9,13.5,3.3,23.8,-2.3,0,0,3,0,0,0,52
May-07,0,14.3,20.5,9.2,28.8,3.9,0,0,0,0,0,0,129
Jun-07,,18.7,24.1,14.8,28.2,10.2,0,0,0,,,,233
Jul-07,,20.8,25.2,17.8,29,14.4,0,0,0,,,,139
Aug-07,,24.2,30.1,20.1,35.3,16.4,0,0,0,,,,187
Sep-07,,21.6,27.4,17.7,32.1,12.1,0,0,0,,,,106
Oct-07,,13,18.3,9.3,24,3.3,0,0,0,,,,185
Nov-07,53,6,10.8,2.5,17,-3.4,2,0,9,104,35,5,199
Dec-07,40,1.4,4.6,-0.8,11.6,-5.1,9,1,21,213,36,19,222
Jan-08,106,-1.9,0.7,-4.4,6.5,-10.1,23,14,29,329,35,27,122
Feb-08,212,-3.4,0.1,-6.8,6.9,-10.8,29,16,29,430,46,21,215
Mar-08,183,2,6.1,-1.2,12.1,-6.2,9,2,20,170,23,22,77
Apr-08,71,7.7,13.8,2.8,24.6,-1.3,0,0,2,50,14,8,58
May-08,1,14,20.1,8.8,27.5,2.5,0,0,0,0,0,0,87
Jun-08,0,17.2,22.5,12.9,27.9,7.4,0,0,0,0,0,0,189
Jul-08,0,22.4,27.8,18.6,31.7,12.1,0,0,0,0,0,0,143
Aug-08,0,22.1,27.3,18.6,32.5,14.3,0,0,0,0,0,0,194
Sep-08,0,18.1,23.2,14.5,29.7,6.8,0,0,0,0,0,0,114
Oct-08,0,12.7,18.4,8.9,22.9,1.8,0,0,0,0,0,0,36
Nov-08,7,5.3,10.1,1.8,16.8,-3.5,1,0,10,9,7,1,112
Dec-08,50,1.9,6.9,-2.1,15.8,-5.7,8,2,24,86,34,7,120
Jan-09,93,-1.4,2.2,-4.6,7.7,-10.7,24,5,29,267,31,27,160
Feb-09,88,-0.4,3.7,-4,13.8,-9.2,17,2,27,266,31,26,106
Mar-09,64,1.7,6.9,-2.3,19.3,-6.9,9,0,28,134,23,16,118
Apr-09,5,8.4,14.6,3.6,22.4,-1.5,0,0,5,6,6,1,90
May-09,0,14.4,20.5,9.2,28.1,1.1,0,0,0,0,0,0,69
Jun-09,0,18,23.7,13.4,30.3,6.3,0,0,0,0,0,0,90
Jul-09,0,21,25.8,18,33.1,15,0,0,0,0,0,0,256
Aug-09,0,21.8,27.2,18.2,31.3,12.6,0,0,0,0,0,0,135
Sep-09,0,17.6,22.6,13.8,27.1,7.7,0,0,0,0,0,0,39
Oct-09,0,11.9,17,8.2,22.7,4.7,0,0,0,0,0,0,187
Nov-09,1,6.2,11.1,2.7,21.3,-2.4,0,0,6,1,1,0,132
Dec-09,79,1.1,4.8,-1.9,12.4,-8.6,10,3,20,248,66,14,156
Jan-10,235,-2.1,1.3,-5.7,6,-11,26,11,31,417,53,25,289
Feb-10,221,-1.2,2.7,-4.6,13.4,-10.3,20,10,26,252,56,23,120
Mar-10,118,1.3,5.9,-2.3,18.2,-6.4,10,1,28,261,22,27,126
Apr-10,60,5.6,11.1,1.4,18.1,-2.9,0,0,10,34,5,8,82
May-10,0,13,19.1,8,29.6,1.5,0,0,0,0,0,0,74
Jun-10,0,18.6,24.3,14.1,27.9,7.5,0,0,0,0,0,0,140
Jul-10,0,22.4,27.8,18.8,31.6,15.7,0,0,0,0,0,0,230
Aug-10,0,24.7,30.3,20.8,33.9,19.1,0,0,0,0,0,0,98
Sep-10,0,19.4,24.5,16.2,32,9.2,0,0,0,0,0,0,190
Oct-10,0,13.1,17.7,9.8,23,0.5,0,0,0,0,0,0,118
Nov-10,0,5.6,11.1,1.6,17.6,-2.3,0,0,8,0,0,0,64
Dec-10,32,1.7,5.8,-1.9,13.2,-5.7,12,1,24,85,32,8,174
Jan-11,198,-3.9,-0.9,-7.1,2.1,-13.3,31,20,31,474,47,24,253
Feb-11,175,-1.6,3.4,-6.2,11.2,-12,21,5,28,162,22,15,86
Mar-11,158,-0.8,3.6,-4.2,13.1,-7.8,19,6,30,344,41,27,146
Apr-11,106,5.3,11.8,0.6,24.4,-4.9,1,0,11,69,7,14,100
May-11,0,13.3,19.3,8.1,26.1,2.5,0,0,0,0,0,0,162
Jun-11,0,18.4,24,14.5,29.5,9,0,0,0,0,0,0,154
Jul-11,0,22.6,27.9,19,32,13.7,0,0,0,0,0,0,210
Aug-11,0,22.8,28.1,19.3,32.1,16.5,0,0,0,0,0,0,129
Sep-11,0,19.1,24.5,15.2,31.3,8.4,0,0,0,0,0,0,160
Oct-11,0,11.7,17,7.7,21.8,3.1,0,0,0,0,0,0,106
Nov-11,0,7.4,12,4.1,19.3,-1.6,0,0,4,0,0,0,116
Dec-11,154,-0.4,2.8,-3.3,14.2,-10.3,18,8,27,321,55,15,264
